index,term_type,group,feature,term,coefficient,absolute_coefficient,notes
21,descriptor_multiplier_interaction,geometry_lr_mult,heading_consistency,heading_consistency * log(geometry_lr_mult),-0.001529670373860777,0.001529670373860777,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
22,descriptor_multiplier_interaction,geometry_lr_mult,texture_density,texture_density * log(geometry_lr_mult),0.013765258864658075,0.013765258864658075,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
23,descriptor_multiplier_interaction,geometry_lr_mult,blur_motion_risk,blur_motion_risk * log(geometry_lr_mult),0.017563175595856927,0.017563175595856927,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
24,descriptor_multiplier_interaction,geometry_lr_mult,terrain_roughness_proxy,terrain_roughness_proxy * log(geometry_lr_mult),-0.00886986343487204,0.00886986343487204,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
25,descriptor_multiplier_interaction,geometry_lr_mult,vegetation_complexity_score,vegetation_complexity_score * log(geometry_lr_mult),0.06547089806619652,0.06547089806619652,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
26,descriptor_multiplier_interaction,geometry_lr_mult,vegetation_cover_percentage,vegetation_cover_percentage * log(geometry_lr_mult),-0.06819711978507627,0.06819711978507627,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
27,descriptor_multiplier_interaction,appearance_lr_mult,gsd_median,gsd_median * log(appearance_lr_mult),-0.0022536007489766707,0.0022536007489766707,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
28,descriptor_multiplier_interaction,appearance_lr_mult,overlap_proxy,overlap_proxy * log(appearance_lr_mult),0.0010126703592394303,0.0010126703592394303,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
29,descriptor_multiplier_interaction,appearance_lr_mult,coverage_spread,coverage_spread * log(appearance_lr_mult),-0.00811797867842005,0.00811797867842005,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
30,descriptor_multiplier_interaction,appearance_lr_mult,camera_angle_bucket,camera_angle_bucket * log(appearance_lr_mult),0.0,0.0,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
31,descriptor_multiplier_interaction,appearance_lr_mult,heading_consistency,heading_consistency * log(appearance_lr_mult),0.00014258970114693176,0.00014258970114693176,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
32,descriptor_multiplier_interaction,appearance_lr_mult,texture_density,texture_density * log(appearance_lr_mult),0.018566750790163344,0.018566750790163344,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
33,descriptor_multiplier_interaction,appearance_lr_mult,blur_motion_risk,blur_motion_risk * log(appearance_lr_mult),0.013071829706580823,0.013071829706580823,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
34,descriptor_multiplier_interaction,appearance_lr_mult,terrain_roughness_proxy,terrain_roughness_proxy * log(appearance_lr_mult),-0.010985579600071769,0.010985579600071769,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
35,descriptor_multiplier_interaction,appearance_lr_mult,vegetation_complexity_score,vegetation_complexity_score * log(appearance_lr_mult),-0.01420642094595047,0.01420642094595047,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
36,descriptor_multiplier_interaction,appearance_lr_mult,vegetation_cover_percentage,vegetation_cover_percentage * log(appearance_lr_mult),0.012584987317828063,0.012584987317828063,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
37,descriptor_multiplier_interaction,densification_mult,gsd_median,gsd_median * log(densification_mult),0.011253852584897235,0.011253852584897235,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
38,descriptor_multiplier_interaction,densification_mult,overlap_proxy,overlap_proxy * log(densification_mult),-0.003389990172486398,0.003389990172486398,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
39,descriptor_multiplier_interaction,densification_mult,coverage_spread,coverage_spread * log(densification_mult),0.014858184613372285,0.014858184613372285,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
40,descriptor_multiplier_interaction,densification_mult,camera_angle_bucket,camera_angle_bucket * log(densification_mult),0.0,0.0,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
41,descriptor_multiplier_interaction,densification_mult,heading_consistency,heading_consistency * log(densification_mult),-0.0035533353436956994,0.0035533353436956994,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
42,descriptor_multiplier_interaction,densification_mult,texture_density,texture_density * log(densification_mult),-0.03725312838287403,0.03725312838287403,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
43,descriptor_multiplier_interaction,densification_mult,blur_motion_risk,blur_motion_risk * log(densification_mult),-0.025070201477873224,0.025070201477873224,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
44,descriptor_multiplier_interaction,densification_mult,terrain_roughness_proxy,terrain_roughness_proxy * log(densification_mult),0.016259599651851992,0.016259599651851992,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
45,descriptor_multiplier_interaction,densification_mult,vegetation_complexity_score,vegetation_complexity_score * log(densification_mult),-0.013846588460717114,0.013846588460717114,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
46,descriptor_multiplier_interaction,densification_mult,vegetation_cover_percentage,vegetation_cover_percentage * log(densification_mult),0.016739329962690473,0.016739329962690473,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
